V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
158,ARID1A,0.55647975,1.02216679728805e-67,1.48904240448257e-65,64.8270929343697,black,NS,
159,KMT2D,0.7053769,2.40484080516036e-67,3.49065238020975e-65,64.4570933986432,black,NS,
160,ZBTB38,0.8431512,2.50709442300352e-67,3.62603133179348e-65,64.4405684475747,black,NS,
161,PCNX3,1.3446796,2.77184187876123e-67,3.99462012470618e-65,64.3985245143696,red,Up,
162,SYNE3,0.9961488,2.79686440828282e-67,4.01633710331062e-65,64.3961698426849,black,NS,
163,PTPRA,0.6119506,3.33002947345551e-67,4.7481748873808e-65,64.3234732932504,black,NS,
164,CTNNA1,0.6919945,7.37003437823919e-67,1.04349342887968e-64,63.9815102814431,black,NS,
165,MT-RNR2,0.289275,1.65708184490395e-66,2.32984552632628e-64,63.6326728726598,black,NS,
166,PTBP3,0.5108977,6.6602781392484e-66,9.33178970399137e-64,63.0300350567863,black,NS,
167,BACH1,0.5839902,9.62729644736646e-65,1.33041324056209e-62,61.8760134415738,black,NS,
168,KDM2A,0.4244797,1.88167784043725e-64,2.58263483732395e-62,61.5879369950447,black,NS,
169,PIEZO2,1.6012014,3.18793510573796e-64,4.36066296226231e-62,61.3604474788588,red,Up,
170,PREX1,0.614794,3.58368132844289e-64,4.88542935693674e-62,61.3110972622105,black,NS,
171,NFIL3,1.3763326,4.047371817531e-64,5.4989746660273e-62,61.2597182811237,red,Up,
172,CALM3,0.85228723,8.63540028520571e-64,1.16931433660611e-61,60.9320687255338,black,NS,
173,APOL2,0.80899286,1.53175646051323e-63,2.06720524062307e-61,60.684616402693,black,NS,
174,FSTL1,2.1590981,1.00516433923151e-62,1.34752130952391e-60,59.8704643582114,red,Up,
175,IL4I1,0.74174845,2.86716915032701e-62,3.83099369384091e-60,59.416688562904,black,NS,
176,RPS6KA5,0.80683935,5.01271042496035e-62,6.67567297254126e-60,59.1755049466632,black,NS,
177,CEP128,0.8527847,5.13610955591597e-62,6.81750963158952e-60,59.1663742398266,black,NS,
178,CMTM6,0.62370414,5.93248401552788e-62,7.84877360637971e-60,59.105198197725,black,NS,
179,PRR5L,1.2638121,1.54037336676743e-61,2.02466273927685e-59,58.6936473095701,red,Up,
180,STAT3,0.51997995,1.59736555960576e-61,2.09275633315622e-59,58.6792813351234,black,NS,
181,ORMDL3,1.2167972,1.84979882059915e-61,2.40784135512313e-59,58.61837213073,red,Up,
182,SEPTIN11,1.0579073,3.03203994860557e-61,3.92143833352987e-59,58.4065546100861,red,Up,
183,HSD17B4,0.94507176,3.96125261623237e-60,5.06198477431455e-58,57.295679165468,black,NS,
184,ATXN7,0.4300941,3.96408403222491e-60,5.06198477431455e-58,57.295679165468,black,NS,
185,ZFAND5,0.76342493,9.20065234154979e-60,1.17118209238554e-57,56.9313755766866,black,NS,
186,B4GALT5,0.65571797,7.54225516822532e-59,9.36446401686856e-57,56.0285170747947,black,NS,
187,WFDC21P,1.472655,2.04106424042701e-58,2.52641178618745e-56,55.5974958612654,red,Up,
188,CYTIP,0.5660342,2.6766346142776e-58,3.30298348487247e-56,55.4810935978032,black,NS,
189,UBA1,0.782675,2.7544518021578e-58,3.38864753416682e-56,55.4699736013978,black,NS,
190,RPS6KA1,1.2860909,4.67534542568246e-58,5.69968394613712e-56,55.2441492257756,red,Up,
191,GOLGA8B,1.337442,8.23936418344992e-58,9.98422893485199e-56,55.000685469328,red,Up,
192,P4HB,0.8911225,1.2378900370805e-57,1.49554906515786e-55,54.8251993343025,black,NS,
193,SOCS1,1.543936,1.33333871519978e-57,1.60605623390274e-55,54.7942392525529,red,Up,
194,CCNYL1,0.8197846,3.5670058697247e-57,4.27109260697718e-55,54.3694610119815,black,NS,
195,DIAPH1,0.6988914,7.96370295106696e-57,9.50743613850455e-55,54.0219365830648,black,NS,
196,CANX,0.6412243,9.05072221924106e-57,1.07732962534164e-54,53.9676513973849,black,NS,
197,LACTB,0.7772596,4.87678362357219e-56,5.78788155230545e-54,53.237480365201,black,NS,
198,SLC9A7,1.416181,1.49714452904438e-55,1.76645543964909e-53,52.7528973135411,red,Up,
199,CREBL2,0.9399715,1.55711844961794e-55,1.83186133174878e-53,52.7371074046505,black,NS,
200,IRF2,0.5056015,1.7501281113158e-55,2.05294097522718e-53,52.6876235369916,black,NS,
201,LMNB2,1.072191,2.73983754287912e-55,3.20457752261618e-53,52.4942292178427,red,Up,
202,IFI30,0.63054127,3.15755269830929e-55,3.68247301971608e-53,52.4338604264083,black,NS,
203,SEPTIN2,0.59793097,4.61431287842173e-55,5.36590067060731e-53,52.2703573709124,black,NS,
204,HNRNPR,0.6143675,5.5087771259938e-55,6.38764869506039e-53,52.1946589770032,black,NS,
